Index,Height,Weight,Age
1,65.78331,112.9925,19
2,71.51521,136.4873,9
3,69.39874,153.0269,13
4,68.2166,142.3354,30
5,67.78781,144.2971,16
6,68.69784,123.3024,
7,69.80204,141.4947,16
8,70.01472,136.4623,36
9,67.90265,112.3723,17
10,66.78236,120.6672,
11,66.48769,127.4516,20
12,67.62333,114.143,17
13,68.30248,125.6107,16
14,67.11656,122.4618,16
15,68.27967,116.0866,29
16,71.0916,139.9975,23
17,66.461,129.5023,24
18,68.64927,142.9733,8
19,71.23033,137.9025,26
20,67.13118,124.0449,18
21,67.83379,141.2807,4
22,68.87881,143.5392,3
23,63.48115,97.90191,17
24,68.42187,129.5027,13
25,67.62804,141.8501,18
26,67.20864,129.7244,14
27,70.84235,142.4235,6
28,67.49434,131.5502,26
29,66.53401,108.3324,12
30,65.44098,113.8922,25
31,69.5233,103.3016,21
32,65.8132,120.7536,42
33,67.8163,125.7886,18
34,70.59505,136.2225,12
35,71.80484,140.1015,21
36,69.20613,128.7487,10
37,66.80368,141.7994,31
38,67.65893,121.2319,34
39,67.80701,131.3478,25
40,64.04535,106.7115,19
41,68.57463,124.3598,43
42,65.18357,124.8591,27
43,69.65814,139.6711,14
44,67.96731,137.3696,14
45,65.98088,106.4499,10
46,68.67249,128.7639,30
47,66.88088,145.6837,9
48,67.69868,116.819,21
49,69.82117,143.6215,16
50,69.08817,134.9325,
51,69.91479,147.0219,16
52,67.33182,126.3285,16
53,70.26939,125.4839,27
54,69.10344,115.7084,7
55,65.38356,123.4892,23
56,70.18447,147.8926,1000
57,70.40617,155.8987,31
58,66.54376,128.0742,23
59,66.36418,119.3701,32
60,67.537,133.8148,24
61,66.50418,128.7325,17
62,68.99958,137.5453,15
63,68.30355,129.7604,19
64,67.01255,128.824,18
65,70.80592,135.3165,16
66,68.21951,109.6113,17
67,69.05914,142.4684,0
68,67.73103,132.749,21
69,67.21568,103.5275,17
70,67.36763,124.7299,32
71,65.27033,129.3137,17
72,70.84278,134.0175,23
73,69.92442,140.3969,19
74,64.28508,102.8351,28
75,68.2452,128.5214,
76,66.35708,120.2991,27
77,68.36275,138.6036,32
78,65.4769,132.9574,22
79,69.71947,115.6233,14
80,67.72554,122.524,26
81,68.63941,134.6254,25
82,66.78405,121.8986,5
83,70.05147,155.3767,23
84,66.27848,128.9418,22
85,69.20198,129.1013,31
86,69.13481,139.4733,9
87,67.36436,140.8901,10
88,70.09297,131.5916,10
89,70.1766,121.1232,15
90,68.22556,131.5127,32
91,68.12932,136.5479,12
92,70.24256,141.4896,23
93,71.48752,140.6104,38
94,69.20477,112.1413,13
95,70.06306,133.457,11
96,70.55703,131.8001,18
97,66.28644,120.0285,5
98,63.42577,123.0972,7
99,66.76711,128.1432,11
100,68.88741,115.4759,40
101,64.87434,102.0927,35
102,67.09272,130.353,11
103,68.34761,134.1842,7
104,65.61073,98.64133,32
105,67.75551,114.5599,22
106,68.0212,123.4917,30
107,67.66193,123.048,18
108,66.3146,126.4772,19
109,69.43706,128.417,28
110,63.83624,127.1941,12
111,67.72277,122.0562,29
112,70.05098,127.6064,17
113,70.18602,131.6423,19
114,65.94588,111.8955,23
115,70.007,122.039,28
116,68.61129,128.5547,22
117,68.80817,132.6792,17
118,69.76212,136.0632,25
119,65.45539,115.9403,15
120,68.82534,136.9041,23
121,65.8003,119.8804,
122,67.21474,109.0055,19
123,69.42021,128.2705,20
124,68.94396,135.2913,26
125,67.9415,106.8558,2
126,65.62506,123.2939,25
127,66.49607,109.5143,2
128,67.92809,119.3087,9
129,68.89415,140.2402,33
130,70.241,133.9841,14
131,68.26623,132.5807,6
132,71.23161,130.6988,36
133,69.09747,115.5637,
134,64.39693,123.7941,18
135,71.09585,128.1427,38
136,68.21868,135.9646,18
137,65.91721,116.6273,1000
138,67.4369,126.8241,17
139,73.90107,151.3913,30
140,69.98149,130.4022,30
141,69.51862,136.2068,29
142,65.18437,113.3989,43
143,68.00869,125.3287,18
144,68.3384,127.5846,14
145,65.18417,107.1564,28
146,68.26209,116.4588,1
147,68.56865,133.8402,23
148,64.49675,112.8901,44
149,68.71053,130.7568,21
150,68.89148,137.7571,16
151,69.54011,125.4036,7
152,67.39964,138.4659,12
153,66.47521,120.8184,8
154,66.01217,140.1539,20
155,72.44434,136.7397,26
156,64.12642,106.1139,11
157,70.98112,158.9562,0
158,67.50124,108.7868,36
159,72.01515,138.7758,52
160,65.31143,115.9136,26
161,67.07509,146.2922,13
162,64.39148,109.8765,22
163,69.37003,139.0499,9
164,68.37921,119.9001,29
165,65.31018,128.3069,33
166,67.1369,127.2428,11
167,68.39468,115.2306,35
168,66.2918,124.7975,15
169,67.1866,126.9511,32
170,65.99156,111.2711,23
171,69.43393,122.6089,28
172,67.97463,124.2084,13
173,67.76133,124.6453,30
174,65.27864,119.5169,10
175,73.83364,139.2983,44
